Customer_ID,LOB_Code,Product_Name,Customer_Type,Age,Annual_Income,Missed_Payments,Delinquent_Days,PenaltyFee_Amount,Probability_of_Default,DTI,OnTime_Payments,Bullet_Flag,Inactive_Flag,Total_Reachouts,Successful_Reachouts,Last_Campaign,Risk_Rating,Primary_Credit_Score,Total_Credit_Accounts
509076131453,C,Line of credit,C,40,89090,15,75,7.9872604307990684,0,0.13526085054420392,0,1,0,12,7,Student Rewards 101,2,704.9909147176215,1
548709578981,R,Home Improvement,R,39,89446,8,72,14.108113479148805,0,0.20740313865277452,1,1,0,16,3,Retirement Banking For a Better Tomorrow,2,517.8203713814031,9
503384074942,C,Home Improvement,C,31,74512,11,77,41.287636310953886,0,0.2798997736095837,1,1,0,31,9,Student Loan Hassle-Free,3,579.400284052655,3
209127289068,R,Personal Loan,R,24,51124,11,63,30.429903158841796,0,0.2131121458062317,1,1,1,24,8,Small Business Banking 101,1,830.1097078255135,5
283205437470,C,Personal Loan,C,28,74636,12,78,11.556280538368064,1,0.34036931982491314,0,0,1,35,10,Investing More For a Better Tomorrow,4,580.6884035862984,5
623908435414,C,Real Estate,C,66,47569,15,68,6.082541623235127,1,0.30818064997818984,0,1,0,31,7,Investing Lending Bonanza,8,766.4348196270104,3
295399329528,R,Car Loan,R,27,74723,14,56,32.55374736602937,0,0.22265251396217986,1,0,0,21,4,Credit Relief For a Better Tomorrow,9,550.1480056368811,7
834749600447,R,Equipment Finance,R,67,47366,0,1,47.90633505759299,0,0.2295519503167394,0,0,0,9,10,Retirement Banking Hassle-Free,2,833.4973442658292,2
190309040831,R,Equipment Finance,R,56,75809,5,77,43.67797447884339,0,0.4028620316723138,1,0,1,24,13,Financial Relief Made Easy,1,769.6054248795906,9
971549433260,R,Equipment Finance,R,46,96026,6,21,23.764980048256763,0,0.18948157958509299,0,0,0,12,13,Green Fitness For a Better Tomorrow,4,765.2658291273877,4
327275732637,C,Home Improvement,C,59,73960,7,0,44.59379644856061,0,0.21621977765242695,1,1,1,24,11,Small Business Banking 101,8,777.4122686941437,1
177445375742,R,Personal Loan,R,39,90023,4,26,35.86481033837928,0,0.22887900129877142,0,1,0,24,11,Small Business Planning Bonanza,4,393.7309061491479,3
522719767087,C,Home Improvement,C,34,74443,9,70,36.4520967556615,0,0.23028834610908927,1,0,0,20,10,Mobile Lending Made Easy,1,652.4733646276334,8
720770745670,R,Real Estate,R,37,90409,13,12,48.700111629846475,0,0.3041620772313649,0,1,0,13,11,Mobile Investment For a Better Tomorrow,5,674.8428215098054,9
410808934702,C,Home Improvement,C,62,73154,3,77,30.82386499325637,0,0.26111137586579775,0,0,0,21,8,Investing Fitness Made Easy,9,580.3551437980179,7
130615412239,C,Mortgage,C,40,89501,0,5,37.49777794076805,0,0.29020106901643616,0,1,0,23,9,Green Lending Made Easy,7,555.2467953498192,4
453079251754,C,Line of Credit,C,26,74608,8,79,28.198195629643973,0,0.09561554775669023,0,1,1,19,16,Retirement Rewards Bonanza,1,576.489456044713,9
151682697575,C,Real Estate,C,48,97479,9,73,30.150346543906934,0,0.37929150685416707,1,1,0,21,5,Student Relief For a Better Tomorrow,1,740.1627482137612,2
155218572823,R,Personal Loan,R,32,74597,2,14,30.301137885011272,0,0.30774988290004635,1,0,1,22,11,Savings Rewards 101,4,672.7116508930867,7
770750506900,R,Line of Credit,R,29,74225,9,3,40.869314351205055,0,0.3351690363061456,1,1,1,28,6,Investing Planning 101,9,736.2349562223657,4
536411227620,R,Equipment Finance,R,49,97442,9,79,29.95922620888307,0,0.25132228534384804,0,1,1,4,7,Mobile Challenge Hassle-Free,3,812.5584909892253,3
771494123371,C,Real Estate,C,52,95900,4,86,13.939539820283658,0,0.19357298087696923,0,0,1,16,9,Green Relief 101,1,669.4852219006341,3
397822271629,R,Equipment Finance,R,69,46638,1,66,46.367801370336615,0,0.24764046962580413,1,1,1,24,8,Mobile Relief 101,8,754.0081471306476,8
786570312607,R,Real Estate,R,30,74431,6,36,10.905270134830971,0,0.22057987415172436,0,1,0,40,11,Investing Banking For a Better Tomorrow,2,832.2249602874367,1
292265312792,R,Real Estate,R,49,95264,0,20,17.963420947129105,0,0.2512107138078531,1,0,0,24,8,Green Less Bonanza,3,675.4343270749648,9
133483955087,R,Real Estate,R,55,73841,14,83,16.126880893048,1,0.2720126290528738,1,1,0,14,13,Financial Planning Made Easy,6,697.2810634407041,6
106666016503,R,Real Estate,R,32,73596,11,60,50.01927942553876,0,0.26456059579131186,0,1,1,11,8,Retirement Investment For a Better Tomorrow,5,881.6454670819019,3
553351998362,C,Car Loan,C,23,50306,15,48,25.56445918443889,0,0.15413046325376548,1,0,0,23,11,Savings Rewards For a Better Tomorrow,2,591.2016395746247,1
565476661366,C,Home Improvement,C,36,90530,1,48,18.052909930705695,0,0.23859308685768188,0,0,1,23,11,Retirement Fitness Bonanza,9,642.0003781604858,5
469090056122,R,Line of Credit,R,21,50894,9,35,18.047212836537142,0,0.36462163421566784,1,0,1,29,10,Small Business Less Bonanza,6,721.0218833635819,1
517517059781,C,Line of Credit,C,18,50094,1,55,47.00520383099056,0,0.11845657105630447,1,0,1,2,9,Financial Rewards Hassle-Free,5,671.6924750364724,8
466997794471,C,Home Improvement,C,53,96407,0,74,7.900327404007309,0,0.3728238488406018,0,1,1,12,8,Student Planning Bonanza,9,567.6230387264995,3
562979887344,C,Car Loan,C,25,73189,8,63,54.74886891740216,0,0.38831652865277655,1,1,1,21,10,Green More Bonanza,5,630.0519992148814,4
915002282232,C,Car Loan,C,24,50385,0,57,22.59476471959441,0,0.24691818980868277,1,0,1,12,7,Credit Planning Hassle-Free,6,591.6765942642395,3
